solver,threads,clock_time,wall_clock_time,matrix_info,trial
pardisoLU,1,2.6419,"0.293173
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,0
pardisoLU,6,0.822402,"0.324124
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,0
pardisoLU,11,0.64696,"0.263969
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,0
pardisoLU,16,0.76718,"0.271747
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,0
pardisoLU,21,1.0266,"0.312595
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,0
pardisoLU,26,4.38011,"0.430825
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,0
pardisoLU,31,0.542745,"0.210604
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,0
pardisoLU,36,8.60136,"0.431304
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,0
pardisoLU,41,0.711536,"0.258911
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,0
pardisoLU,46,3.69207,"0.357389
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,0
pardisoLU,51,3.08344,"0.318529
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,0
pardisoLU,56,3.68752,"0.410359
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,0
pardisoLU,61,5.30566,"0.417306
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,0
pardisoLU,66,4.72683,"0.317667
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,0
pardisoLU,71,0.347567,"0.300706
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,0
pardisoLU,76,0.779228,"0.198589
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,0
pardisoLU,81,0.733725,"0.263002
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,0
pardisoLU,86,1.11288,"0.308683
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,0
pardisoLU,91,0.447634,"0.205927
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,0
pardisoLU,96,1.76521,"0.251462
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,0
pardisoLU,1,0.619365,"0.244604
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,1
pardisoLU,6,0.774048,"0.213866
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,1
pardisoLU,11,5.92221,"0.427456
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,1
pardisoLU,16,1.5737,"0.260994
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,1
pardisoLU,21,1.03085,"0.41456
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,1
pardisoLU,26,3.64486,"0.352919
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,1
pardisoLU,31,2.95325,"0.33248
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,1
pardisoLU,36,3.08824,"0.320174
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,1
pardisoLU,41,0.797549,"0.261729
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,1
pardisoLU,46,0.708962,"0.217377
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,1
pardisoLU,51,0.405804,"0.21681
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,1
pardisoLU,56,0.909754,"0.220774
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,1
pardisoLU,61,2.35313,"0.296674
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,1
pardisoLU,66,3.2515,"0.352588
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,1
pardisoLU,71,0.664693,"0.246727
",/u/1/chenyang/matrix_resource/solver-mat-0906/golf-ball-doformable-wall/75_4_A.bin,1
